By Newten's Divided Difference method:
X = -3.000000, F(X) = 6.438412
X = -2.999000, F(X) = 6.437172
X = -2.998000, F(X) = 6.435911
X = -2.997000, F(X) = 6.434628
X = -2.996000, F(X) = 6.433324
X = -2.995000, F(X) = 6.431998
X = -2.994000, F(X) = 6.430652
X = -2.993000, F(X) = 6.429284
X = -2.992000, F(X) = 6.427895
X = -2.991000, F(X) = 6.426485
X = -2.990000, F(X) = 6.425054
X = -2.989000, F(X) = 6.423603
X = -2.988000, F(X) = 6.422132
X = -2.987000, F(X) = 6.420640
X = -2.986000, F(X) = 6.419128
X = -2.985000, F(X) = 6.417596
X = -2.984000, F(X) = 6.416045
X = -2.983000, F(X) = 6.414473
X = -2.982000, F(X) = 6.412882
X = -2.981000, F(X) = 6.411271
X = -2.980000, F(X) = 6.409642
X = -2.979000, F(X) = 6.407992
X = -2.978000, F(X) = 6.406324
X = -2.977000, F(X) = 6.404637
X = -2.976000, F(X) = 6.402931
X = -2.975000, F(X) = 6.401206
X = -2.974000, F(X) = 6.399462
X = -2.973000, F(X) = 6.397700
X = -2.972000, F(X) = 6.395920
X = -2.971000, F(X) = 6.394122
X = -2.970000, F(X) = 6.392305
X = -2.969000, F(X) = 6.390471
X = -2.968000, F(X) = 6.388618
X = -2.967000, F(X) = 6.386748
X = -2.966000, F(X) = 6.384860
X = -2.965000, F(X) = 6.382955
X = -2.964000, F(X) = 6.381032
X = -2.963000, F(X) = 6.379092
X = -2.962000, F(X) = 6.377135
X = -2.961000, F(X) = 6.375161
X = -2.960000, F(X) = 6.373169
X = -2.959000, F(X) = 6.371162
X = -2.958000, F(X) = 6.369137
X = -2.957000, F(X) = 6.367096
X = -2.956000, F(X) = 6.365038
X = -2.955000, F(X) = 6.362964
X = -2.954000, F(X) = 6.360874
X = -2.953000, F(X) = 6.358767
X = -2.952000, F(X) = 6.356645
X = -2.951000, F(X) = 6.354506
X = -2.950000, F(X) = 6.352352
X = -2.949000, F(X) = 6.350182
X = -2.948000, F(X) = 6.347997
X = -2.947000, F(X) = 6.345796
X = -2.946000, F(X) = 6.343579
X = -2.945000, F(X) = 6.341348
X = -2.944000, F(X) = 6.339101
X = -2.943000, F(X) = 6.336839
X = -2.942000, F(X) = 6.334562
X = -2.941000, F(X) = 6.332270
X = -2.940000, F(X) = 6.329964
X = -2.939000, F(X) = 6.327643
X = -2.938000, F(X) = 6.325307
X = -2.937000, F(X) = 6.322957
X = -2.936000, F(X) = 6.320592
X = -2.935000, F(X) = 6.318214
X = -2.934000, F(X) = 6.315821
X = -2.933000, F(X) = 6.313414
X = -2.932000, F(X) = 6.310993
X = -2.931000, F(X) = 6.308558
X = -2.930000, F(X) = 6.306110
X = -2.929000, F(X) = 6.303647
X = -2.928000, F(X) = 6.301172
X = -2.927000, F(X) = 6.298682
X = -2.926000, F(X) = 6.296180
X = -2.925000, F(X) = 6.293664
X = -2.924000, F(X) = 6.291135
X = -2.923000, F(X) = 6.288593
X = -2.922000, F(X) = 6.286038
X = -2.921000, F(X) = 6.283469
X = -2.920000, F(X) = 6.280889
X = -2.919000, F(X) = 6.278295
X = -2.918000, F(X) = 6.275689
X = -2.917000, F(X) = 6.273070
X = -2.916000, F(X) = 6.270438
X = -2.915000, F(X) = 6.267795
X = -2.914000, F(X) = 6.265139
X = -2.913000, F(X) = 6.262471
X = -2.912000, F(X) = 6.259790
X = -2.911000, F(X) = 6.257098
X = -2.910000, F(X) = 6.254394
X = -2.909000, F(X) = 6.251678
